 20
 1 713
 50 5 120
 1 2 62 3
 2 80 25 14
 3 36 88 1
 4 57 23 14
 5 33 17 19
 6 76 43 2
 7 77 85 14
 8 94 6 6
 9 89 11 7
 10 59 72 6
 11 39 82 10
 12 87 24 18
 13 44 76 3
 14 2 83 6
 15 19 43 20
 16 5 27 4
 17 58 72 14
 18 14 50 11
 19 43 18 19
 20 87 7 15
 21 11 56 15
 22 31 16 4
 23 51 94 13
 24 55 13 13
 25 84 57 5
 26 12 2 16
 27 53 33 3
 28 53 10 7
 29 33 32 14
 30 69 67 17
 31 43 5 3
 32 10 75 3
 33 8 26 12
 34 3 1 14
 35 96 22 20
 36 6 48 13
 37 59 22 10
 38 66 69 9
 39 22 50 6
 40 75 21 18
 41 4 81 7
 42 41 97 20
 43 92 34 9
 44 12 64 1
 45 60 84 8
 46 35 100 5
 47 38 2 1
 48 9 9 7
 49 54 59 9
 50 1 58 2
 2 740
 50 5 120
 1 17 71 10
 2 56 13 17
 3 40 29 20
 4 53 6 2
 5 45 25 12
 6 82 65 8
 7 47 80 13
 8 60 70 11
 9 39 65 7
 10 67 93 3
 11 84 6 6
 12 86 18 5
 13 80 42 10
 14 82 34 17
 15 20 95 18
 16 85 75 7
 17 10 90 10
 18 73 100 3
 19 15 36 7
 20 65 51 5
 21 57 46 4
 22 73 12 20
 23 58 65 3
 24 84 73 4
 25 35 51 19
 26 38 73 6
 27 70 89 17
 28 70 56 5
 29 7 63 6
 30 93 90 10
 31 77 14 15
 32 55 18 15
 33 17 45 6
 34 4 38 7
 35 57 64 20
 36 26 45 16
 37 93 62 1
 38 63 68 19
 39 48 90 2
 40 100 94 16
 41 17 59 9
 42 100 57 2
 43 29 81 19
 44 15 39 4
 45 69 44 15
 46 4 4 5
 47 69 61 4
 48 39 67 5
 49 29 58 18
 50 70 69 19
 3 751
 50 5 120
 1 3 60 1
 2 68 49 19
 3 81 53 16
 4 62 94 6
 5 1 57 5
 6 7 98 10
 7 24 94 12
 8 59 95 1
 9 19 13 16
 10 70 86 7
 11 94 60 8
 12 66 72 2
 13 70 88 13
 14 98 85 10
 15 4 34 4
 16 47 90 11
 17 71 64 13
 18 97 94 16
 19 51 53 13
 20 91 66 16
 21 83 50 4
 22 30 65 4
 23 90 57 13
 24 11 21 18
 25 72 17 17
 26 72 26 20
 27 32 76 1
 28 18 21 11
 29 84 89 2
 30 41 93 3
 31 51 64 12
 32 51 14 3
 33 47 72 19
 34 90 83 8
 35 21 73 12
 36 86 65 15
 37 86 23 14
 38 76 17 3
 39 67 74 9
 40 7 75 4
 41 55 72 17
 42 89 13 20
 43 28 24 1
 44 54 6 20
 45 94 81 1
 46 59 79 16
 47 54 68 9
 48 28 89 9
 49 1 46 18
 50 21 97 10
 4 651
 50 5 120
 1 9 59 15
 2 5 26 1
 3 66 78 19
 4 18 75 12
 5 70 88 11
 6 98 63 19
 7 9 81 5
 8 13 50 10
 9 19 83 16
 10 85 3 1
 11 40 47 3
 12 14 31 8
 13 8 50 6
 14 2 51 1
 15 63 98 8
 16 44 39 6
 17 80 39 10
 18 86 3 7
 19 44 42 6
 20 65 47 16
 21 32 61 16
 22 63 33 19
 23 80 24 13
 24 59 64 8
 25 38 4 11
 26 62 25 19
 27 39 58 17
 28 29 71 2
 29 48 45 18
 30 49 49 1
 31 58 61 5
 32 8 87 17
 33 49 50 15
 34 77 84 17
 35 25 75 6
 36 100 92 9
 37 3 70 10
 38 54 77 2
 39 16 89 2
 40 29 85 6
 41 46 37 19
 42 32 57 14
 43 9 49 13
 44 18 86 14
 45 58 41 4
 46 14 80 15
 47 65 63 10
 48 72 91 11
 49 7 13 14
 50 78 28 10
 5 664
 50 5 120
 1 2 4 14
 2 98 70 5
 3 88 78 13
 4 20 49 15
 5 14 77 16
 6 19 47 1
 7 77 38 20
 8 54 53 18
 9 98 13 6
 10 41 47 19
 11 40 63 16
 12 44 98 3
 13 16 60 3
 14 44 43 9
 15 35 56 6
 16 18 47 9
 17 93 29 18
 18 24 7 19
 19 7 23 11
 20 86 12 10
 21 64 33 18
 22 15 8 10
 23 11 7 12
 24 17 18 5
 25 32 68 8
 26 72 97 6
 27 62 68 4
 28 83 62 13
 29 55 40 2
 30 30 86 4
 31 2 5 11
 32 76 69 6
 33 46 38 5
 34 23 26 4
 35 82 24 7
 36 91 36 14
 37 89 42 19
 38 84 72 9
 39 69 50 19
 40 75 73 16
 41 79 86 3
 42 99 51 15
 43 68 79 2
 44 52 37 17
 45 79 56 9
 46 41 10 20
 47 60 77 17
 48 12 61 7
 49 97 37 14
 50 70 75 14
 6 778
 50 5 120
 1 13 11 20
 2 36 98 9
 3 18 51 15
 4 39 1 15
 5 89 88 8
 6 33 36 11
 7 6 80 5
 8 46 82 19
 9 21 78 6
 10 92 56 6
 11 21 17 19
 12 4 70 17
 13 80 79 3
 14 31 5 5
 15 93 24 12
 16 56 52 8
 17 50 72 6
 18 1 23 11
 19 8 69 20
 20 42 16 2
 21 62 78 20
 22 47 6 7
 23 22 79 14
 24 10 84 6
 25 51 59 13
 26 37 63 12
 27 11 38 10
 28 13 41 5
 29 36 60 7
 30 62 65 11
 31 24 32 11
 32 65 57 20
 33 9 5 13
 34 5 87 7
 35 65 30 16
 36 66 1 20
 37 51 21 6
 38 77 47 20
 39 91 18 20
 40 3 51 1
 41 63 23 10
 42 19 38 1
 43 27 69 8
 44 8 98 15
 45 19 27 8
 46 81 49 9
 47 1 63 10
 48 99 39 20
 49 30 17 6
 50 62 89 7
 7 787
 50 5 120
 1 6 29 11
 2 84 85 12
 3 44 25 8
 4 27 68 12
 5 45 43 2
 6 55 89 12
 7 64 73 20
 8 80 85 5
 9 53 52 14
 10 29 46 11
 11 22 22 7
 12 99 87 3
 13 51 22 11
 14 17 49 11
 15 76 63 12
 16 94 38 18
 17 5 23 2
 18 29 70 20
 19 38 84 9
 20 30 69 15
 21 7 87 20
 22 37 45 14
 23 55 60 3
 24 73 53 4
 25 16 75 18
 26 57 96 8
 27 69 28 17
 28 53 33 14
 29 79 29 12
 30 46 6 2
 31 41 71 10
 32 54 87 2
 33 7 13 11
 34 30 28 11
 35 41 76 3
 36 15 39 4
 37 36 59 10
 38 33 47 7
 39 10 6 5
 40 51 11 20
 41 38 99 17
 42 38 78 14
 43 94 48 7
 44 98 25 14
 45 19 94 17
 46 64 13 14
 47 37 69 16
 48 70 45 11
 49 73 56 17
 50 55 10 14
 8 820
 50 5 120
 1 1 46 4
 2 16 15 16
 3 39 67 6
 4 82 75 16
 5 95 38 12
 6 62 52 19
 7 77 92 6
 8 14 100 9
 9 7 16 4
 10 23 23 12
 11 40 43 1
 12 1 73 9
 13 88 44 4
 14 86 2 11
 15 51 69 12
 16 30 68 14
 17 28 87 2
 18 34 63 7
 19 72 27 3
 20 84 18 5
 21 16 9 1
 22 99 1 15
 23 72 20 11
 24 79 22 18
 25 79 79 12
 26 32 92 15
 27 72 3 5
 28 12 14 20
 29 78 49 10
 30 90 5 11
 31 60 4 19
 32 43 64 9
 33 85 50 19
 34 44 50 14
 35 67 27 13
 36 76 25 15
 37 19 63 9
 38 2 75 10
 39 16 50 13
 40 75 26 14
 41 53 91 20
 42 57 4 10
 43 44 24 16
 44 92 10 13
 45 98 28 11
 46 47 20 14
 47 83 52 13
 48 14 12 7
 49 40 14 18
 50 39 93 5
 9 715
 50 5 120
 1 26 33 2
 2 25 62 17
 3 90 11 7
 4 39 72 5
 5 70 18 12
 6 92 71 13
 7 82 24 16
 8 83 5 12
 9 56 40 18
 10 89 28 8
 11 56 88 8
 12 29 41 4
 13 26 41 12
 14 30 50 20
 15 4 58 11
 16 13 78 3
 17 50 92 5
 18 42 69 12
 19 87 41 20
 20 5 68 4
 21 27 64 6
 22 11 67 13
 23 52 88 19
 24 36 49 7
 25 64 87 3
 26 42 63 2
 27 19 83 13
 28 49 26 7
 29 22 20 4
 30 45 32 9
 31 36 20 3
 32 61 95 8
 33 33 93 20
 34 34 82 4
 35 3 82 4
 36 51 5 6
 37 80 61 18
